StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID9,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID45,QID46,QID47,QID48,QID49,QID50,QID51,QID52,QID54,QID55,QID56,QID57,QID58,QID59,QID60,QID61,QID63,QID64,QID65,QID66,QID67,QID68,QID69,QID70,QID72,QID73,QID74,QID75,QID76,QID77,QID78,QID79,QID81,QID82,QID83,QID84,QID85,QID86,QID87,QID88,QID90,QID91,QID92,QID93,QID94,QID95,QID96,QID97,QID99,QID100,QID101,QID102,QID103,QID104,QID105,QID106,QID108,QID109,QID110,QID111,QID112,QID113,QID114,QID115,QID117,QID118,QID119,QID120,QID121,QID122,QID123,QID124,QID126,QID127,QID128,QID129,QID130,QID131,QID132,QID133,QID135,QID136,QID137,QID138,QID139,QID140,QID141,QID142,QID144,QID145,QID146,QID147,QID148,QID149,QID150,QID151,QID153,QID154,QID155,QID156,QID157,QID158,QID159,QID160,QID162,QID163,QID164,QID165,QID166,QID167,QID168,QID169,QID171,QID172,QID173,QID174,QID175,QID176,QID177,QID178,QID180,QID181,QID182,QID183,QID184,QID185,QID186,QID187,QID189,QID190,QID191,QID192,QID193,QID194,QID195,QID196,QID198,QID199,QID200,QID201,QID202,QID203,QID204,QID205,QID207,QID208,QID209,QID210,QID211,QID212,QID213,QID214,QID216,QID217,QID218,QID219,QID220,QID221,QID222,QID223,QID225,QID226,QID227,QID228,QID229,QID230,QID231,QID232,QID234,QID235,QID236,QID237,QID238,QID239,QID240,QID241,QID243,QID244,QID245,QID246,QID247,QID248,QID249,QID250,QID252,QID253,QID254,QID255,QID256,QID257,QID258,QID259,QID260,QID261,QID262,QID263,QID264,QID265,QID266,QID267,QID268,QID270,QID271,QID272,QID273,QID274,QID275,QID276,QID277,QID279,QID280,QID281,QID282,QID283,QID284,QID285,QID286,QID288,QID289,QID290,QID291,QID292,QID293,QID294,QID295,QID297,QID298,QID299,QID300,QID301,QID302,QID303,QID304,QID306,QID307,QID308,QID309,QID310,QID311,QID312,QID313,QID315,QID316,QID317,QID318,QID319,QID320,QID321,QID322,QID324,QID325,QID326,QID327,QID328,QID329,QID330,QID331,QID333,QID334,QID335,QID336,QID337,QID338,QID339,QID340,QID342,QID343,QID344,QID345,QID346,QID347,QID348,QID349,QID351,QID352,QID353,QID354,QID355,QID356,QID357,QID358,QID360,QID361,QID362,QID363,QID364,QID365,QID366,QID367,mTurkCode
12/13/17 13:44,12/13/17 13:49,IP Address,*******,100,325,TRUE,12/13/17 13:49,R_2rwQBz5HDUTrEro,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,"child,baby","child,baby","money,baby","apple,baby","baby,food","money,food","apple,food","child,baby",,,,,,,,,"hands,animal","area,holiday","hands,animal","hands,animal","hands,room","hands,holiday","area,animal","area,animal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eyes,sky","chocolate,lady","eyes,lady","eyes,sky","sky,chocolate","lady,wedding","sky,chocolate","lady,wedding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sky,god","sky,god","sky,text","eyes,boy","boy,text","eyes,boy","eyes,sky","sky,boy","eyes,lady","sky,history","eyes,lady","sky,lady","sky,history","eyes,sky","eyes,sky","eyes,lady",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80049524
12/13/17 20:46,12/13/17 20:51,IP Address,*******,100,324,TRUE,12/13/17 20:51,R_2qlUqhrXpjkq0aE,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"city,birthday","road,weight","city,road","evening,weight","birthday,evening","road,weight","city,evening","city,road","baby,beauty","baby,holiday","dog,security","dog,beauty","dog,security","baby,dog","dog,security","baby,beauty",,,,,,,,,"hands,heart","heart,lady","country,sky","country,hands","hands,lady","hands,sky","hands,lady","heart,lady",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,child","artist,child","artist,child","artist,country","artist,child","country,birthday","artist,child","child,morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child,friend","hair,child","food,hair","friend,training","child,friend","child,training","friend,training","food,friend",,,,,,,,,35469474
12/13/17 20:46,12/13/17 20:53,IP Address,*******,100,412,TRUE,12/13/17 20:53,R_2rZthnlCmSeZAkj,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"car,death","street,legs","car,legs","death,sky","car,death","death,legs","street,death","street,sky",,,,,,,,,,,,,,,,,,,,,,,,,"feelings,relationship","street,area","beauty,relationship","beauty,relationship","beauty,relationship","feelings,relationship","feelings,relationship","feelings,relationship",,,,,,,,,,,,,,,,,"hands,feelings","legs,feelings","legs,friend","legs,feelings","feelings,friend","friend,wedding","feelings,friend","friend,wedding",,,,,,,,,,,,,,,,,"animal,relationship","animal,god","god,relationship","car,animal","animal,god","car,animal","god,relationship","car,relationship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19226334
12/13/17 20:47,12/13/17 20:54,IP Address,*******,100,412,TRUE,12/13/17 20:54,R_1DNZvlAgzPXroOQ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"city,hair","city,road","city,weight","city,eyes","city,eyes","road,weight","eyes,hair","city,hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,room","wings,morning","morning,room","child,room","child,morning","hands,room","child,wings","wings,room","dog,apple","apple,death","city,death","apple,death","phone,death","dog,apple","dog,death","dog,death",,,,,,,,,,,,,,,,,"heart,eyes","heart,history","history,text","history,text","eyes,text","heart,eyes","history,text","heart,history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"baby,city","baby,child","baby,child","baby,city","chocolate,city","baby,child","city,holiday","city,holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79273788
12/13/17 20:45,12/13/17 20:54,IP Address,*******,100,522,TRUE,12/13/17 20:54,R_3JIfV0axmPPbk7s,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,"country,child","country,child","car,money","car,country","car,country","country,child","country,child","country,child",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,street","death,street","death,street","child,artist","artist,wedding","child,wedding","child,artist","artist,wedding",,,,,,,,,,,,,,,,,,"car,performance","country,evening","country,performance","car,evening","car,evening","car,business","country,business","country,evening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ocean,feelings","area,ocean","ocean,beauty","feelings,wings","area,feelings","feelings,wings","area,ocean","ocean,feelings","boy,girl","boy,girl","dog,chocolate","car,dog","car,dog","car,dog","car,dog","car,dog",,,,,,,,,,,,,,,,,80701473
12/13/17 20:51,12/13/17 20:56,IP Address,*******,100,303,TRUE,12/13/17 20:56,R_vkUZvNKLALC9ORb,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,evening","city,road","city,weight","evening,weight","birthday,evening","road,weight","city,evening","road,evening",,,,,,,,,"city,hair","city,road","hair,weight","city,eyes","city,eyes","road,weight","eyes,hair","road,hair","hands,heart","heart,lady","heart,sky","heart,lady","hands,lady","hands,sky","hands,heart","country,lady",,,,,,,,,,,,,,,,,,,,,,,,,"holiday,eyes","food,holiday","eyes,ocean","birthday,eyes","holiday,eyes","food,ocean","holiday,eyes","food,ocean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69093716
12/13/17 20:47,12/13/17 20:56,IP Address,*******,100,533,TRUE,12/13/17 20:56,R_268sa8e7ZunWYby,*******,*******,*******,*******,*******,*******,anonymous,EN,"car,city","car,performance","girl,car","car,performance","city,performance","girl,lady","city,performance","girl,lady",,,,,,,,,"child,money","car,money","apple,child","country,money","car,child","car,money","apple,child","country,child",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,history","heart,eyes","phone,eyes","phone,history","eyes,history","heart,eyes","history,text","phone,text",,,,,,,,,,,,,,,,,"city,family","city,family","city,family","hands,security","hands,weight","city,family","city,family","family,hands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"business,gift","training,road","training,gift","training,gift","training,phone","business,phone","business,phone","gift,phone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78765365
12/13/17 20:47,12/13/17 20:56,IP Address,*******,100,530,TRUE,12/13/17 20:56,R_eD6YCIXl2fxI4PD,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,night","morning,artist","artist,car","artist,car","car,country","artist,country","artist,car","artist,car",,,,,,,,,,,,,,,,,"holiday,eyes","food,holiday","eyes,ocean","eyes,ocean","eyes,ocean","food,birthday","eyes,ocean","eyes,ocean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"family,weight","hands,weight","city,family","family,security","security,weight","city,family","city,family","family,hands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"road,sky","baby,dog","baby,dog","dog,training","baby,dog","dog,training","baby,dog","road,sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sky,road","artist,road","area,artist","sky,road","sky,road","artist,wings","sky,artist","sky,wings",28509296
12/13/17 20:46,12/13/17 20:57,IP Address,*******,100,679,TRUE,12/13/17 20:57,R_5zF4JkLYkYgkOIh,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,"child,baby","child,baby","child,baby","money,apple","money,baby","money,baby","child,baby","money,apple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sky,god","god,text","eyes,text","eyes,boy","eyes,boy","eyes,boy","eyes,sky","sky,boy",,,,,,,,,,,,,,,,,"road,training","dog,training","dog,road","road,training","baby,dog","road,training","baby,dog","road,sky",,,,,,,,,,,,,,,,,,,,,,,,,,"car,country","car,country","country,performance","country,performance","car,country","car,country","car,business","country,evening",,,,,,,,,"baby,child","child,city","baby,chocolate","child,city","child,chocolate","baby,child","baby,city","city,holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25898943
12/13/17 20:47,12/13/17 20:57,IP Address,*******,100,601,TRUE,12/13/17 20:57,R_22V6JzMLDEH1ZWO,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child,room","wings,morning","morning,room","hands,room","child,wings","child,morning","child,hands","wings,room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"feelings,relationship","street,area","beauty,area","beauty,area","feelings,relationship","area,relationship","feelings,relationship","area,feelings",,,,,,,,,"country,morning","animal,country","animal,city","country,morning","animal,country","city,morning","country,city","country,city",,,,,,,,,,,,,,,,,,,,,,,,,"animal,relationship","animal,god","car,animal","car,animal","phone,god","car,animal","animal,god","car,relationship",,,,,,,,,,,,,,,,,,,,,,,,,,"car,food","gift,city","car,gift","food,street","car,gift","city,street","car,city","car,street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66313816
