Duration (in seconds),QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,QID270,QID271,QID273,QID274,QID276,QID277,QID279,QID280,QID282,QID283,QID285,QID286,QID288,QID289,QID291,QID292,QID294,QID295,QID297,QID298,QID300,QID301,QID303,QID304,QID306,QID307,QID309,QID310,QID312,QID313,QID315,QID316,QID318,QID319,QID321,QID322,QID324,QID325,QID327,QID328,QID330,QID331,QID333,QID334,QID336,QID337,QID339,QID340,QID342,QID343,QID345,QID346,QID348,QID349,QID351,QID352,QID354,QID355,QID357,QID358,QID360,QID361,QID363,QID364,QID366,QID367,QID369,QID370,QID372,QID373,QID375,QID376,QID378,QID379,QID381,QID382,QID384,QID385,QID387,QID388,QID390,QID391,QID393,QID394,QID396,QID397,QID399,QID400,QID402,QID403,QID405,QID406,QID408,QID409,QID411,QID412,QID414,QID415,QID417,QID418,QID420,QID421,QID423,QID424,mTurkCode
263,"lady,birthday",4,,,,,,,,,,,"hair,lady",3,,,,,,,,,,,,,,,,,,,"performance,text",3,,,"performance,god",1.5,,,,,,,,,,,,,,,,,"god,country",3,,,,,,,"lady,hair",4,,,,,,,,,,,,,,,"morning,girl",2,,,"lady,girl",5,"lady,wings",3,,,,,,,,,,,,,,,,,,,,,,,,,"artist,weight",3,"god,heart",4,,,,,,,"hair,country",4.5,"artist,girl",3,,,,,,,,,,,,,,,,,"morning,artist",4,,,,,,,,,,,,,"feelings,relationship",3,,,,,"girl,morning",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,girl",4,,,,,,,"dog,country",3,,,,,,,,,,,,,"wedding,hair",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,city",3,,,,,,,,,,,,,,,,,
258,"lady,birthday",4,,,"performance,god",4,,,,,"business,feelings",4,,,,,,,,,,,"feelings,performance",4,,,,,,,,,,,,,,,"performance,god",4,,,,,,,,,,,,,,,,,"heart,apple",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"god,holiday",3,,,,,,,"beauty,business",4,,,,,,,,,"morning,dog",3,,,"wedding,girl",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,security",3,,,,,,,,,,,,,,,,,,,,,,,"morning,god",4,,,,,,,,,,,,,,,,,"morning,girl",4,,,,,,,,,,,"morning,girl",4,,,,,,,,,,,,,,,,,,,,,,,"phone,artist",4,"hair,apple",4,"area,birthday",3,,,,,,,,,,,,,,,,,"wedding,apple",3,,,"gift,artist",4,,,,,,,,,"birthday,ocean",4,,,,,,,,,,,,,
267,"lady,birthday",3,,,,,,,,,,,,,,,,,"hair,lady",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,lady",4,,,,,,,,,,,"lady,hair",2,"lady,hair",1,"country,god",1,,,,,,,,,,,,,,,"lady,girl",4,"birthday,lady",1,,,,,,,,,,,,,,,,,,,"beauty,business",3,,,,,,,,,,,,,,,,,,,"artist,girl",3,,,"weight,girl",4,"night,dog",2,,,,,,,,,,,,,,,,,,,,,,,"feelings,relationship",2,,,,,,,,,,,,,,,,,,,,,,,"child,beauty",2,,,,,,,,,,,,,,,,,,,,,"performance,girl",4,,,"dog,country",3,,,,,,,,,,,,,,,,,,,,,,,"area,birthday",1,,,"wings,country",1,,,"area,weight",2,,,,,,,"area,wedding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"lady,birthday",4,,,,,,,,,,,,,"lady,beer",3,,,,,"feelings,performance",4,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,performance",4,,,,,,,,,,,,,,,,,"lady,text",2,,,"heart,beauty",4,,,,,,,,,,,,,,,,,,,"god,security",3,,,,,,,,,,,"dog,lady",4,"training,dog",3,,,"apple,beauty",3,,,,,,,,,,,,,,,,,,,,,,,,,"night,dog",2,,,,,"dog,feelings",4,,,,,"dog,lady",4,,,,,,,"beauty,heart",3,,,"feelings,relationship",5,,,,,,,,,,,,,,,,,,,"car,girl",2,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,country",3,,,,,,,,,,,,,,,,,,,,,,,,,,,"hair,country",3,,,,,,,,,"ocean,god",2,,,,,,,,,,,,,,,,,,,,,,,,,,,"business,birthday",2,,,
292,"lady,birthday",2,"lady,birthday",2,,,,,,,,,"hair,lady",2,,,,,,,"feelings,performance",2,,,,,,,,,,,,,,,"performance,god",2,,,,,,,,,,,"beauty,performance",2,,,,,,,"heart,apple",2,,,,,,,,,,,,,,,,,,,,,"morning,girl",3,"lady,girl",3,,,,,,,,,,,,,,,"god,holiday",1,"hair,beer",3,"training,dog",4,,,,,,,,,,,,,,,,,,,,,,,,,"business,feelings",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child,weight",2,,,,,"beer,area",2,,,,,,,,,,,,,,,,,,,"dog,country",3,,,,,,,,,,,"wedding,hair",2,,,,,,,,,,,,,,,,,,,,,"dog,artist",2,,,,,,,,,,,,,,,,,"wedding,hair",1,,,"birthday,ocean",2,,,,,,,,,,,
355,"lady,birthday",2,,,,,"beauty,lady",4,"beauty,lady",5,,,,,,,,,"wedding,lady",1,,,,,,,,,,,,,,,,,,,,,"lady,birthday",3,,,"performance,beauty",2,,,"beauty,performance",2.5,,,,,,,,,,,,,,,,,,,,,,,"beauty,chocolate",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"money,child",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,artist",3,,,,,,,,,"wings,girl",4,,,"child,beauty",3,,,,,,,"beer,wedding",5,,,,,,,,,,,,,,,,,,,,,,,"wedding,dog",3,,,,,,,,,,,,,,,,,,,"area,birthday",3,,,,,"area,weight",1,,,,,,,,,,,"hair,money",1,,,,,,,,,,,,,,,,,"money,business",5,"wings,artist",4,,,"god,artist",4,
214,"lady,birthday",4,,,,,,,,,,,,,,,,,,,"feelings,performance",3,,,,,,,,,,,"performance,god",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",1,,,,,,,,,,,,,"beauty,business",3,,,,,,,,,"morning,dog",3,,,,,,,,,,,,,,,"night,dog",4,,,,,,,,,,,,,"dog,lady",4,,,,,,,"food,beauty",3,"feelings,relationship",4,"feelings,relationship",4,,,"girl,morning",3,,,"night,artist",3,,,,,,,,,,,"girl,wings",2,,,,,,,,,,,,,"area,hair",4,,,,,,,"performance,girl",4,"morning,girl",4,,,,,,,"wedding,dog",4,,,,,"money,phone",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"area,wedding",2,,,,,,,,,
293,"lady,birthday",4,,,,,,,"beauty,lady",3,,,,,,,,,,,,,,,,,,,,,"performance,god",5,"performance,text",2,,,,,,,,,,,"boy,beauty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morning,artist",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,weight",2,"phone,feelings",5,,,"phone,morning",5,"birthday,chocolate",5,,,,,,,,,,,,,,,,,"girl,apple",3,,,,,,,"morning,night",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,performance,4,,,,,,,,,"country,wedding",5,,,,,,,,,,,,,,,,,"hair,country",1,,,"area,birthday",2,,,,,,,,,,,,,,,"area,apple",2,,,,,,,,,,,,,"birthday,death",2,,,"area,wedding",2,,,,,,,"death,artist",5,
413,"lady,birthday",4,,,,,,,,,,,,,,,,,,,,,"feelings,performance",1,"girl,beauty",4,,,,,,,,,"text,performance",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,beauty",3,"food,beauty",3,,,,,,,,,,,,,,,,,"apple,security",2,,,"artist,heart",3,,,,,,,,,,,,,"business,beauty",3,,,,,,,"dog,history",2,,,,,,,"artist,girl",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"girl,morning",2,,,,,"morning,artist",1,,,,,,,,,,,,,,,,,,,"business,beauty",4,,,,,"area,hair",4,"dog,morning",2,,,,,,,,,,,,,,,,,,,,,,,"night,dog",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hair,money",1,,,,,,,"legs,artist",4,,,,,,,,,,,"artist,room",2,,,,,
393,"lady,birthday",4,"lady,birthday",4,"performance,god",2,,,,,"feelings,wedding",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,god",5,,,,,,,,,,,"birthday,lady",3,,,,,,,,,,,,,,,"morning,country",4,,,,,,,,,,,,,,,,,,,,,,,,,"artist,beer",4,,,,,"hair,beer",3,,,,,,,,,,,,,,,,,,,"wedding,girl",4,,,,,"history,girl",3,"hair,feelings",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"relationship,girl",5,,,,,,,,,,,,,"child,beauty",5,"chocolate,business",2,,,,,"morning,girl",5,"chocolate,hair",5,,,,,,,,,,,,,,,,,,,,,,,,,,,"country,hair",4,,,,,,,,,,,,,,,,,,,,,,,,,"area,apple",3.5,,,,,,,,,,,,,,,,,"birthday,ocean",3,,,,,,,,,,,
