StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID9,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID45,QID46,QID47,QID48,QID49,QID50,QID51,QID52,QID54,QID55,QID56,QID57,QID58,QID59,QID60,QID61,QID63,QID64,QID65,QID66,QID67,QID68,QID69,QID70,QID72,QID73,QID74,QID75,QID76,QID77,QID78,QID79,QID81,QID82,QID83,QID84,QID85,QID86,QID87,QID88,QID90,QID91,QID92,QID93,QID94,QID95,QID96,QID97,QID99,QID100,QID101,QID102,QID103,QID104,QID105,QID106,QID108,QID109,QID110,QID111,QID112,QID113,QID114,QID115,QID117,QID118,QID119,QID120,QID121,QID122,QID123,QID124,QID126,QID127,QID128,QID129,QID130,QID131,QID132,QID133,QID135,QID136,QID137,QID138,QID139,QID140,QID141,QID142,QID144,QID145,QID146,QID147,QID148,QID149,QID150,QID151,QID153,QID154,QID155,QID156,QID157,QID158,QID159,QID160,QID162,QID163,QID164,QID165,QID166,QID167,QID168,QID169,QID171,QID172,QID173,QID174,QID175,QID176,QID177,QID178,QID180,QID181,QID182,QID183,QID184,QID185,QID186,QID187,QID189,QID190,QID191,QID192,QID193,QID194,QID195,QID196,QID198,QID199,QID200,QID201,QID202,QID203,QID204,QID205,QID207,QID208,QID209,QID210,QID211,QID212,QID213,QID214,QID216,QID217,QID218,QID219,QID220,QID221,QID222,QID223,QID225,QID226,QID227,QID228,QID229,QID230,QID231,QID232,QID234,QID235,QID236,QID237,QID238,QID239,QID240,QID241,QID243,QID244,QID245,QID246,QID247,QID248,QID249,QID250,QID252,QID253,QID254,QID255,QID256,QID257,QID258,QID259,QID261,QID262,QID263,QID264,QID265,QID266,QID267,QID268,QID270,QID271,QID272,QID273,QID274,QID275,QID276,QID277,QID279,QID280,QID281,QID282,QID283,QID284,QID285,QID286,QID288,QID289,QID290,QID291,QID292,QID293,QID294,QID295,QID297,QID298,QID299,QID300,QID301,QID302,QID303,QID304,QID306,QID307,QID308,QID309,QID310,QID311,QID312,QID313,QID315,QID316,QID317,QID318,QID319,QID320,QID321,QID322,QID324,QID325,QID326,QID327,QID328,QID329,QID330,QID331,QID333,QID334,QID335,QID336,QID337,QID338,QID339,QID340,QID342,QID343,QID344,QID345,QID346,QID347,QID348,QID349,QID351,QID352,QID353,QID354,QID355,QID356,QID357,QID358,QID360,QID361,QID362,QID363,QID364,QID365,QID366,QID367,mTurkCode
2/20/18 20:13,2/20/18 20:18,IP Address,*******,100,306,TRUE,2/20/18 20:18,R_2cAs1zTHG9MfYMS,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"city,chocolate","city,child","chocolate,girl","family,child","child,girl","child,girl","city,family","child,girl",,,,,,,,,"street,area","baby,god","area,baby","car,street","car,baby","car,god","street,area","car,baby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child,artist","street,wedding","child,artist","child,death","death,street","child,wedding","artist,wedding","death,artist",,,,,,,,,,,,,,,,,"business,evening","country,evening","business,performance","country,evening","business,evening","country,evening","car,performance","evening,performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"food,hair","hair,child","food,child","child,friend","child,training","hair,training","child,friend","food,training",,,,,,,,,87145391
2/20/18 20:14,2/20/18 20:18,IP Address,*******,100,246,TRUE,2/20/18 20:18,R_zbWnmpmVYS2ui8V,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,weight","birthday,evening","city,road","birthday,weight","birthday,weight","birthday,evening","road,evening","road,evening",,,,,,,,,,,,,,,,,,,,,,,,,"artist,country","morning,night","night,country","morning,car","artist,car","artist,car","morning,night","car,country",,,,,,,,,,,,,,,,,,,,,,,,,"morning,room","hands,morning","child,wings","child,morning","child,hands","child,hands","child,wings","child,room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"street,area","street,baby","baby,god","car,area","car,baby","car,god","street,area","car,baby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"baby,city","baby,holiday","baby,city","chocolate,city","child,city","chocolate,city","baby,child","child,city",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11171994
2/20/18 20:14,2/20/18 20:18,IP Address,*******,100,279,TRUE,2/20/18 20:18,R_2m1fGt6JSSQeZP3,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eyes,ocean","holiday,birthday","eyes,ocean","holiday,birthday","food,ocean","food,eyes","food,ocean","food,holiday",,,,,,,,,,,,,,,,,,,,,,,,,"chocolate,girl","city,girl","child,girl","city,chocolate","family,child","child,girl","city,family","child,girl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"legs,feelings","hands,feelings","friend,wedding","friend,wedding","feelings,friend","friend,wedding","hands,legs","feelings,wedding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"car,street","car,street","gift,food","gift,food","gift,city","gift,food","city,street","car,gift",,,,,,,,,"friend,hair","wings,beauty","wings,beauty","child,friend","beauty,hair","beauty,hair","child,hair","wings,friend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67127857
2/20/18 20:13,2/20/18 20:19,IP Address,*******,100,337,TRUE,2/20/18 20:19,R_1hGWHisfuKlQd0a,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,"child,money","apple,child","car,country","country,apple","country,child","country,money","country,money","apple,child","area,animal","area,holiday","animal,room","area,animal","animal,room","area,room","hands,animal","animal,holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,legs","child,dog","country,family","child,dog","country,family","country,legs","child,dog","dog,family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"city,food","car,city","gift,street","gift,food","car,gift","gift,city","car,food","car,gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"security,feelings","feelings,girl","business,food","feelings,girl","feelings,girl","business,security","food,girl","feelings,girl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98672900
2/20/18 20:13,2/20/18 20:19,IP Address,*******,100,342,TRUE,2/20/18 20:19,R_2djdvF9kWxU2yhI,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,"hands,room","area,holiday","hands,animal","area,animal","area,hands","area,room","area,holiday","animal,room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,death","dog,city","dog,death","dog,apple","phone,death","dog,death","dog,city","dog,city",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"animal,city","city,hands","animal,morning","city,morning","hands,morning","animal,hands","animal,hands","animal,city",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"city,street","car,street","gift,city","city,street","car,street","car,gift","car,street","car,gift",,,,,,,,,"friend,hair","wings,beauty","beauty,hair","child,wings","child,beauty","child,beauty","child,friend","wings,hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75442881
2/20/18 20:15,2/20/18 20:20,IP Address,*******,100,288,TRUE,2/20/18 20:20,R_3O6TUSBspFjxF9k,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eyes,ocean","holiday,birthday","eyes,ocean","food,holiday","food,ocean","holiday,ocean","food,ocean","food,ocean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"feelings,friend","hands,legs","friend,wedding","friend,wedding","hands,feelings","feelings,wedding","legs,friend","feelings,friend",,,,,,,,,,,,,,,,,"god,relationship","animal,relationship","god,relationship","phone,god","car,relationship","phone,animal","god,relationship","animal,god",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"baby,holiday","baby,child","baby,holiday","chocolate,city","child,city","baby,city","baby,child","baby,child",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sky,artist","area,road","area,sky","sky,artist","artist,wings","sky,wings","sky,wings","artist,wings",12342016
2/20/18 20:13,2/20/18 20:20,IP Address,*******,100,374,TRUE,2/20/18 20:20,R_2n2E0F3Z8eUqCKR,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"birthday,weight","birthday,evening","city,road","birthday,weight","birthday,weight","birthday,evening","road,evening","road,evening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"road,training","dog,road","dog,training","baby,sky","baby,dog","baby,dog","sky,training","road,sky",,,,,,,,,"boy,performance","boy,girl","girl,performance","beauty,performance","girl,beauty","performance,phone","performance,phone","girl,beauty",,,,,,,,,"business,evening","business,evening","business,performance","country,evening","business,performance","country,performance","car,country","country,performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"food,child","child,friend","food,child","child,friend","child,friend","friend,training","child,training","child,friend",,,,,,,,,75207200
2/20/18 20:14,2/20/18 20:20,IP Address,*******,100,361,TRUE,2/20/18 20:20,R_2pK2lqbhrptYTiw,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phone,text","heart,history","eyes,history","heart,text","phone,history","eyes,history","heart,phone","heart,history",,,,,,,,,,,,,,,,,"family,security","family,weight","city,security","family,hands","family,security","city,security","family,security","family,hands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,sky","dog,road","baby,sky","dog,road","dog,training","baby,road","baby,dog","dog,training",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child,friend","wings,hair","wings,friend","friend,hair","child,beauty","wings,hair","child,wings","wings,beauty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,wings","area,road","sky,wings","area,artist","sky,road","area,road","sky,artist","area,artist",58528189
2/20/18 20:16,2/20/18 20:20,IP Address,*******,100,246,TRUE,2/20/18 20:20,R_ZHSzbxuiJJFxQuB,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,"child,baby","apple,baby","child,money","child,money","child,baby","child,money","apple,food","apple,food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"country,family","child,dog","country,family","dog,family","country,family","country,family","dog,country","child,family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"car,legs","death,legs","car,sky","death,sky","car,street","car,death","car,legs","car,death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eyes,boy","sky,god","eyes,god","sky,god","eyes,text","boy,text","god,text","sky,god",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,child","artist,child","artist,child","food,security","food,child","artist,text","artist,security","food,child",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59342137
2/20/18 20:18,2/20/18 20:20,IP Address,*******,100,176,TRUE,2/20/18 20:20,R_31zxuZvwTBV0knN,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,"child,apple","apple,baby","child,apple","money,food","child,baby","child,baby","money,food","apple,food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,country","morning,country","night,artist","morning,artist","artist,car","morning,artist","morning,night","artist,car","child,legs","country,family","dog,family","child,legs","country,family","child,country","country,legs","country,family",,,,,,,,,"holiday,birthday","holiday,birthday","food,ocean","food,ocean","eyes,ocean","food,birthday","food,eyes","holiday,ocean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"street,area","area,baby","car,baby","car,area","area,baby","car,god","street,god","baby,god",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60790541
