Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,QID278,QID279,QID281,QID282,QID284,QID285,QID287,QID288,QID290,QID291,QID293,QID294,QID296,QID297,QID299,QID300,QID302,QID303,QID305,QID306,QID308,QID309,QID311,QID312,QID314,QID315,QID317,QID318,QID320,QID321,QID323,QID324,QID326,QID327,QID329,QID330,QID332,QID333,QID335,QID336,QID338,QID339,QID341,QID342,QID344,QID345,QID347,QID348,QID350,QID351,QID353,QID354,QID356,QID357,QID359,QID360,QID362,QID363,QID365,QID366,QID368,QID369,QID371,QID372,QID374,QID375,QID377,QID378,QID380,QID381,QID383,QID384,QID386,QID387,QID389,QID390,QID392,QID393,QID395,QID396,QID398,QID399,QID401,QID402,QID404,QID405,QID407,QID408,QID410,QID411,QID413,QID414,QID416,QID417,QID419,QID420,QID422,QID423,QID425,QID426,QID428,QID429,QID431,QID432,QID434,QID435,QID437,QID438,QID440,QID441,QID443,QID444,QID446,QID447,QID449,QID450,QID452,QID453,QID455,QID456,QID458,QID459,QID461,QID462,QID464,QID465,QID467,QID468,QID470,QID471,QID473,QID474,QID476,QID477,QID479,QID480,QID482,QID483,QID485,QID486,QID488,QID489,QID491,QID492,QID494,QID495,QID497,QID498,QID500,QID501,QID503,QID504,QID506,QID507,QID509,QID510,QID512,QID513,QID515,QID516,QID518,QID519,QID521,QID522,QID524,QID525,QID527,QID528,QID530,QID531,QID533,QID534,QID536,QID537,QID539,QID540,QID542,QID543,QID545,QID546,random
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,,,,,"birthday,road",4,,,,,"performance,hair",5,,,,,"hands,legs",5,"birthday,country",4,,,,,"legs,performance",3,,,,,,,,,,,,,,,,,"baby,relationship",4,"wedding,history",4,,,,,,,"text,performance",4,,,"weight,family",4,,,,,"heart,chocolate",4,"weight,business",5,,,,,,,,,,,"hands,country",5,,,"family,child",4,,,,,,,,,,,"baby,friend",4,"wedding,history",4,,,,,,,,,"training,night",4,,,"birthday,animal",3,"weight,city",4,,,,,"artist,holiday",4,811331
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,hands",3,"birthday,heart",3,,,"business,chocolate",3,,,,,,,,,,,,,,,,,,,,,,,"wedding,weight",3,"business,beer",4,"heart,beer",3,,,"holiday,legs",4,,,,,,,"birthday,sky",4,,,,,"text,performance",3,,,"business,family",3,,,,,,,"weight,birthday",3,,,security,3,"weight,birthday",3,"beer,money",3,,,,,,,"god,child",3,,,,,,,"chocolate,death",3,"birthday,security",4,,,,,,,,,"weight,room",3,,,,,,,,,,,hair,3,,,"artist,holiday",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491208
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"area,hands",4,,,"road,room",4,"area,chocolate",4,,,,,,,,,"hands,birthday",4,,,,,"area,room",4,,,,,"birthday,room",4,"wedding,weight",3,"road,business",5,,,,,"holiday,legs",3,,,,,,,,,,,,,"text,performance",3,"room,training",3,,,"chocolate,road",5,"birthday,sky",4,,,,,"phone,friend",2,,,,,,,"city,beer",3,"hands,birthday",3,,,"god,child",3,"beer,child",4,,,,,,,,,,,"wedding,history",4,"evening,wedding",5,,,,,,,,,,,,,,,,,,,,,320297
191,,,,,"birthday,heart",2,"birthday,room",2,"business,chocolate",5,"wedding,history",2,"performance,hair",5,,,,,,,,,,,,,"weight,legs",2,,,"birthday,food",2,,,,,,,"performance,family",2,,,,,,,,,,,,,,,,,"room,city",3,,,"chocolate,road",5,,,,,,,"phone,friend",5,,,"food,birthday",2,,,,,,,hair,2,"god,child",5,,,,,,,death,2,,,,,,,"wedding,night",3,,,"holiday,weight",5,"family,birthday",5,"birthday,training",2,street,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103595
253,"hands,artist",5,,,,,,,,,,,,,,,,,,,,,,,"area,room",4,,,,,,,"wedding,performance",4,"road,beer",3,"performance,heart",,,,,,,,"baby,relationship",5,,,,,,,"phone,hair",5,"family,performance",4,,,"weight,family",4,"road,room",4,"sky,night",3,,,"weight,business",4,,,"relationship,security",5,,,,,"city,night",4,,,,,,,,,,,"road,death",4,,,,,"baby,friend",3,,,,,,,"holiday,room",5,,,,,"chocolate,weight",5,,,,,"hair,phone",4,,,"artist,legs",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738574
217,,,,,,,,,"business,area",2,,,"performance,gift",3,,,,,,,"birthday,area",2,"heart,performance",5,,,,,,,,,,,,,,,"performance,wedding",4,,,,,,,,,,,"text,road",4,,,"text,family",3,"room,training",4,,,"chocolate,road",1.5,"sky,night",2,"heart,room",2,,,"friend,family",4,"security,birthday",3,"food,weight",4,,,"city,night",4,,,"hair,eyes",1,,,"beer,child",3,,,,,,,,,,,,,"wedding,night",4,,,,,,,"birthday,night",3,,,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859795
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,hands",4,,,,,,,"death,history",3,,,"chocolate,area",4,"country,chocolate",4,,,,,"country,performance",3,"room,legs",4,,,,,,,"wedding,performance",3,,,"performance,heart",3,"performance,wedding",3,,,,,,,,,,,"road,apple",4,"phone,birthday",3,,,"room,city",2,,,,,,,,,,,"friend,family",3,"security,birthday",4,"food,birthday",4,"business,money",3,,,,,,,,,,,,,,,"heart,chocolate",4,,,,,,,,,,,"weight,room",4,,,,,"street,chocolate",4,,,,,"hair,sky",2,,,,,102700
298,,,,,,,,,"business,area",3,,,"performance,gift",5,,,,,,,"area,country",4,"heart,performance",4,,,,,"hands,apple",1,,,,,"road,business",4,,,,,,,,,,,"weight,history",1,"birthday,night",3,"text,road",5,,,"family,performance",4,,,"weight,family",4,,,,,"heart,room",4,,,,,,,,,,,"city,night",4,"hands,birthday",4,"hair,eyes",4,,,"death,child",4,,,,,,,,,,,,,,,"wings,lady",4,,,,,,,,,"birthday,animal",4,"weight,city",4,,,,,"legs,holiday",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759995
294,"heart,artist",4,"area,hands",2,,,,,,,,,,,"car,area",4,"country,road",2,"hands,legs",4,,,,,,,,,"hands,car",3,,,"wedding,performance",2,,,"performance,heart",2,,,"hair,holiday",3,"room,area",5,"relationship,text",1,"weight,history",2,,,,,"hair,birthday",2,,,,,,,,,,,,,,,,,,,,,"business,money",3,,,,,,,,,,,"birthday,friend",4,"road,death",2,,,"performance,birthday",4,"baby,friend",3,"history,performance",3,,,,,,,,,,,,,,,,,,,"night,beer",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241636
262,,,,,,,,,"business,area",3,,,"performance,gift",4,,,,,,,"area,country",2,"heart,performance",3,,,,,,,,,,,,,,,"performance,wedding",3,,,,,,,,,,,"text,road",4,,,"family,performance",3,"training,city",3,,,"chocolate,room",3,"birthday,sky",3,"heart,room",3,,,friend,4,"relationship,security",3,weight,3,,,"city,night",4,,,"hair,eyes",3,,,child,4,,,,,,,,,,,,,"evening,night",3,,,,,,,"birthday,night",3,,,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439195
