Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,random
171,"hands,artist",4,,,,,,,,,"heart,performance",4,"area,room",4,"birthday,food",4,,,"road,business",2,"performance,family",5,"baby,relationship",4,"text,road",5,,,"birthday,night",5,"weight,birthday",4,"friend,family",5,"relationship,security",4,"business,beer",4,"city,night",5,,,"birthday,hair",4,,,"birthday,security",5,"phone,friend",3,,,"evening,night",5,"weight,room",5,"birthday,animal",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3582281
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",5,"performance,gift",2,,,,,"heart,country",4,"area,room",4,,,,,"road,business",4,"performance,wedding",5,"baby,relationship",5,,,"business,family",5,"sky,night",5,"business,birthday",3,"friend,family",5,,,"beer,money",1,"city,night",3,"hands,country",4,"hair,eyes",5,,,"performance,security",5,,,,,"evening,wedding",4,"weight,room",5,"birthday,animal",5,"night,beer",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314409
225,,,"wedding,death",3,,,,,"hands,legs",3,"heart,performance",5,"area,room",3,"room,food",3,"wedding,performance",3,"road,business",4,"performance,family",4,"baby,relationship",5,,,,,"birthday,sky",3,,,"friend,family",2,,,"business,money",3,"city,beer",3,"hands,birthday",3,,,"beer,death",3,"performance,birthday",4,"phone,baby",3,"wedding,history",3,"evening,wedding",3,,,,,"night,eyes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4978707
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,,,,,,,"hands,legs",4,,,"area,room",4,"birthday,food",3,"performance,weight",4,"road,business",3,"performance,wedding",4,"baby,relationship",5,"text,road",4,,,"sky,night",4,,,"friend,family",4,"relationship,security",3,"business,money",3,"beer,night",4,"hands,country",4,,,"death,child",3,"performance,security",4,"baby,friend",4,,,"evening,night",3,"weight,room",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999100
160,"heart,artist",5,"death,history",5,"performance,gift",5,"chocolate,road",5,"hands,legs",4,"heart,performance",4,,,"room,food",5,"performance,weight",4,"road,beer",5,"family,wedding",5,,,"text,road",5,,,,,,,"friend,family",5,,,"beer,money",5,,,"hands,birthday",5,"hair,eyes",5,"death,child",5,"performance,birthday",5,"baby,friend",4,,,"evening,night",5,,,"birthday,animal",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100621
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"death,history",3,,,,,"hands,legs",4,"heart,country",3,,,"birthday,food",2,"performance,weight",3,"road,business",2,"performance,family",2,,,,,"weight,family",3,"birthday,night",1,"weight,birthday",3,"friend,family",3,"relationship,security",2,,,"beer,night",3,"hands,country",4,,,"beer,death",3,"performance,security",2,"baby,friend",4,"wedding,performance",2,,,"holiday,room",2,,,"night,beer",3,1133470
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",3,,,,,"country,road",4,"hands,legs",1,,,"area,room",1,"birthday,room",1,"wedding,performance",3,,,,,"baby,relationship",4,,,"business,family",3.5,"sky,night",4,,,,,"relationship,security",4,"business,money",3,"beer,night",2,"hands,country",1,,,"death,child",1,"performance,security",3,"baby,friend",4,"history,performance",1,,,"weight,room",1,"birthday,animal",3,"eyes,beer",1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171394
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,legs",5,"heart,country",3,,,"birthday,food",2,"wedding,performance",5,,,"performance,family",2,,,"text,road",2,"weight,family",4,"sky,night",2,"weight,business",3,"friend,family",4,"relationship,security",3,,,"city,beer",3,"hands,country",4,,,"beer,death",5,,,"baby,friend",5,"history,performance",2,"wedding,night",2,"holiday,weight",1,"god,animal",3,"night,beer",5,2479357
187,"hands,artist",3.5,"wedding,death",3,"performance,gift",5,"country,road",3,"hands,legs",5,"heart,performance",4,"room,legs",3,"room,food",5,,,"road,business",2,"performance,wedding",3,,,,,"business,family",5,,,"weight,business",4,"friend,family",3,"relationship,security",2,"beer,money",4,,,,,,,,,"performance,birthday",4,"baby,friend",5,,,"evening,night",5,,,"birthday,animal",5,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338454
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",3,,,"performance,hair",2,"country,road",5,"hands,legs",2,"heart,country",4,"area,room",3,"birthday,room",3,"wedding,performance",3,"road,business",5,,,"baby,relationship",5,"text,apple",3,,,,,"weight,business",2,,,"relationship,security",4,"business,money",3,,,,,"hair,eyes",4,"death,child",4,,,"baby,friend",3,"history,performance",3,,,,,"birthday,animal",4,"night,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075177
