Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,random
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,"car,area",3,"country,road",5,"hands,legs",3,"area,room",3,"weight,performance",4,"hands,car",5,"performance,heart",3,"birthday,sky",2,"text,apple",5,"text,performance",4,"room,city",5,"friend,family",4,,,"hair,eyes",5,"god,family",4,"heart,death",5,"wedding,history",4,"evening,wedding",2,"phone,birthday",4,"birthday,animal",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33905
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,chocolate",5,"country,chocolate",3,"hands,birthday",3,"area,room",3,"weight,legs",3,"hands,car",3,"performance,heart",3,"birthday,sky",3,"text,road",3,,,"room,training",3,"phone,friend",3,"business,beer",3,"birthday,eyes",3,"god,family",3,"heart,chocolate",3,"wedding,history",3,"evening,wedding",3,"family,phone",3,"birthday,god",3,42703
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,"car,chocolate",4,"country,chocolate",4,"hands,birthday",5,"room,legs",4,"weight,legs",4,"hands,apple",4,"performance,heart",4,"birthday,sky",4,"text,road",4,"text,performance",4,"training,city",4,"phone,friend",5,"business,beer",4,"hair,eyes",3,"family,child",4,,,"wedding,history",4,"evening,wedding",4,"family,phone",5,"god,animal",4,35617
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",4,"car,area",2,"country,road",4,"hands,birthday",2,"area,room",4,"weight,performance",4,"hands,car",4,"performance,heart",4,"birthday,sky",3,"text,apple",3,"text,family",3,"room,city",4,"friend,family",4,"business,money",2,"hair,eyes",5,"family,child",2.5,"heart,death",4,"history,performance",4,"wedding,night",3,"phone,birthday",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11819
286,"heart,artist",2,"car,area",2,"country,road",2,"birthday,legs",1,"area,room",1,"weight,legs",2,"hands,car",3,"performance,beer",2,"birthday,night",1,,,"family,performance",2,"room,city",1.5,"friend,family",2.5,"beer,money",3,"hair,eyes",1,"family,child",1,"heart,death",2,"history,performance",2,"evening,night",3,"family,phone",1,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32413
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"chocolate,area",3,"chocolate,road",3,"birthday,legs",3,"room,legs",3,"legs,performance",3,"hands,car",3,"performance,heart",3,"sky,night",3,"road,apple",3,"text,family",3,"training,city",3,"friend,family",4,"beer,money",4,"hair,eyes",3,,,"chocolate,death",4,"history,performance",3,"wedding,night",3,"family,phone",3,"birthday,god",3,12690
356,"heart,artist",4,"car,area",4,"country,road",4,"hands,birthday",2.5,"area,legs",3,"weight,legs",3,"hands,car",2,"heart,beer",1,"birthday,sky",3,"text,road",3,"family,performance",4,"room,city",3,"friend,family",3,"beer,money",4,"hair,eyes",3,"family,child",3,"heart,death",4,,,"evening,night",3,"phone,birthday",4,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25959
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"chocolate,area",2,"country,road",2,"hands,legs",3,,,"weight,performance",3,"car,apple",2,"performance,heart",2,"sky,night",4,"road,apple",2,"text,performance",2,"training,city",3,"friend,family",3,"business,beer",3,"hair,eyes",2,"god,family",3,"heart,death",3,"history,performance",2,"evening,wedding",2,"family,birthday",3,"god,animal",2,15177
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chocolate,area",4,"country,road",2,"hands,legs",5,"area,room",5,"weight,performance",4,"hands,car",4,"performance,heart",4,"sky,night",5,"text,road",5,"text,family",4,"room,city",3,"friend,family",4,"beer,money",5,"birthday,eyes",5,"family,child",3,"heart,death",4,"wedding,performance",4,"evening,wedding",4,"family,birthday",3,"birthday,animal",2,19811
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,area",1,"country,road",4,"hands,legs",3,"area,room",3,"weight,performance",2,"hands,car",2,"performance,heart",4,"birthday,sky",2,"text,road",4,"family,performance",2.5,"room,city",5,,,"business,money",3.5,"hair,eyes",5,"family,child",2,"heart,death",2,"history,performance",5,"evening,night",4,"family,phone",5,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23977
