Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,QID278,QID279,QID281,QID282,QID284,QID285,QID287,QID288,QID290,QID291,QID293,QID294,QID296,QID297,QID299,QID300,QID302,QID303,QID305,QID306,QID308,QID309,QID311,QID312,QID314,QID315,QID317,QID318,QID320,QID321,QID323,QID324,QID326,QID327,QID329,QID330,QID332,QID333,QID335,QID336,QID338,QID339,QID341,QID342,QID344,QID345,QID347,QID348,QID350,QID351,QID353,QID354,QID356,QID357,QID359,QID360,QID362,QID363,QID365,QID366,QID368,QID369,QID371,QID372,QID374,QID375,QID377,QID378,QID380,QID381,QID383,QID384,QID386,QID387,QID389,QID390,QID392,QID393,QID395,QID396,QID398,QID399,QID401,QID402,QID404,QID405,QID407,QID408,QID410,QID411,QID413,QID414,QID416,QID417,QID419,QID420,QID422,QID423,QID425,QID426,QID428,QID429,QID431,QID432,QID434,QID435,QID437,QID438,QID440,QID441,QID443,QID444,QID446,QID447,QID449,QID450,QID452,QID453,QID455,QID456,QID458,QID459,QID461,QID462,QID464,QID465,QID467,QID468,QID470,QID471,QID473,QID474,QID476,QID477,QID479,QID480,QID482,QID483,random
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,country",4,"girl,apple",3,,,"wedding,lady",4,,,,,"lady,weight",3,,,"legs,girl",3,,,,,"chocolate,lady",3,"girl,legs",5,,,,,,,,,"artist,performance",5,"relationship,food",3,,,,,,,"boy,lady",5,,,"girl,food",2,,,"phone,relationship",4,,,,,,,"performance,country",5,,,,,,,"text,lady",5,"girl,death",3,,,,,,,"feelings,artist",2,"feelings,beauty",3,,,,,,,,,,,,,"birthday,boy",4,,,"wedding,performance",3,,,,,"birthday,food",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971162
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beer,country",2,"girl,apple",2,"security,lady",1,"wedding,street",2,"lady,girl",4,,,,,"girl,lady",4,,,,,"lady,weight",2,"city,lady",2,,,"beer,road",1,,,,,,,"artist,performance",2,"lady,food",3,"security,lady",1,,,,,,,,,,,,,"relationship,heart",4,,,,,,,,,,,,,,,,,"girl,death",4,"apple,lady",1,"artist,country",3,"feelings,money",3,,,,,,,,,,,,,"death,lady",3,,,,,"boy,relationship",3,,,,,,,"birthday,food",2,935572
290,,,"girl,wings",3,"artist,lady",3,,,,,"security,girl",3,,,"girl,lady",3,"girl,history",3,"lady,dog",4,"night,lady",3,"city,lady",3,"girl,baby",3,,,,,,,,,"artist,performance",3,,,,,,,"baby,god",3,,,,,,,,,,,,,,,,,"performance,country",3,,,"lady,girl",3,"feelings,birthday",3,"god,lady",3,,,,,,,"girl,feelings",3,,,,,,,"girl,area",3,"lady,feelings",3,,,,,,,,,"boy,relationship",3,,,,,,,"birthday,food",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551587
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,security",2,,,,,,,,,"beer,lady",3,,,,,"night,lady",2,,,,,,,"girl,food",4.5,"lady,gift",3,"boy,girl",4,"artist,performance",5,,,"lady,gift",2,"relationship,family",2,"baby,god",3,,,,,,,,,,,,,,,,,,,"performance,feelings",3,"lady,girl",2,"sky,feelings",4,,,"girl,apple",4,"animal,lady",5,"artist,apple",2.5,,,,,,,,,,,,,,,,,,,"birthday,boy",3,,,"wedding,performance",2,"security,wedding",4,,,"birthday,death",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720503
263,"artist,country",2,,,,,"wedding,lady",3,"lady,girl",5,,,"weight,hair",3,,,,,,,,,,,,,"road,business",4,"girl,weight",4,,,,,,,"relationship,lady",3,"lady,gift",4,,,,,"boy,lady",5,"beer,night",5,"girl,food",3,"apple,beer",5,,,,,"relationship,boy",3,,,,,"performance,lady",4,,,"feelings,birthday",3,,,,,,,,,,,,,"feelings,beauty",4,,,,,,,,,,,"lady,artist",4,"birthday,history",2,"boy,relationship",4,,,"security,wedding",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141880
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,country",3,"apple,wings",4.5,"artist,security",3,,,"weight,girl",2,,,"lady,weight",4,,,"legs,girl",3,"lady,dog",3,"night,lady",3,"chocolate,lady",4,,,,,,,,,,,,,,,,,,,,,,,"beer,night",3,,,,,,,,,"animal,boy",3,,,,,,,,,,,,,,,"animal,lady",3,"apple,country",3,"girl,money",3,"baby,artist",3,"feelings,beauty",2,,,"legs,girl",4,"lady,baby",3,,,,,"lady,artist",2,,,"birthday,relationship",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862454
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"weight,lady",2.5,"security,girl",4,,,,,,,"sky,dog",4,,,,,,,"beer,road",4,,,,,,,,,,,"lady,gift",2.5,,,,,,,"beer,night",3,,,"apple,beer",2,,,"chocolate,birthday",4,"animal,boy",3,"relationship,lady",3,,,,,,,"sky,feelings",4,,,,,,,,,"feelings,money",5,,,,,"lady,apple",4,"legs,girl",4,"baby,feelings",4,"lady,weight",4,"lady,holiday",5,"lady,artist",3,,,"boy,relationship",3,,,,,"birthday,beauty",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491878
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,country",3,"girl,apple",3,,,,,,,,,,,,,,,"lady,dog",3,"lady,weight",3,"chocolate,lady",3,,,,,,,,,,,"artist,performance",2,"lady,food",3,"security,lady",3,,,,,,,"performance,night",4,,,"beer,performance",3,,,"child,chocolate",2,,,,,"performance,country",4,"performance,lady",3,"lady,girl",3,,,"text,lady",3,,,,,,,,,"baby,artist",2,"feelings,beauty",4,,,"girl,area",3,,,,,"death,lady",3,,,,,,,,,,,,,"birthday,food",3,522959
456,,,,,,,,,"lady,girl",2,,,,,,,,,,,,,,,,,,,,,"lady,gift",4,"boy,girl",2,,,,,"lady,gift",2,"lady,family",1,,,"boy,lady",5,,,,,,,"phone,heart",2,"child,birthday",4,,,"relationship,apple",1,,,,,,,,,,,"girl,apple",4,"animal,lady",2,"apple,country",5,,,"feelings,artist",1,"feelings,beauty",5,"apple,street",3,,,,,"lady,family",3,"lady,holiday",2,"lady,birthday",3,,,,,"wedding,performance",2,,,"birthday,beauty",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590718
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,lady",3,,,"security,girl",2,,,"beer,lady",3,,,,,,,,,,,,,,,,,"boy,girl",4,,,,,,,"lady,family",4,"baby,god",2,"boy,lady",5,,,,,"apple,performance",4,"phone,relationship",3,"child,chocolate",2,,,"relationship,lady",1,,,"feelings,lady",1,"lady,girl",5,,,"text,lady",3,"girl,apple",5,,,,,,,,,,,"lady,street",3,,,,,"lady,family",4,,,,,,,,,"wedding,performance",4,,,"birthday,beauty",4,"birthday,food",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879446
