Default Report,,,
Last Modified: 2018-02-21 06:55:08 MST,,,
,,,
,,,
QID9 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,dead,0.00%,0
2,inspirational,0.00%,0
3,wicked,0.00%,0
4,bad,0.00%,0
5,ancient,3.03%,1
6,sexy,36.36%,12
7,gorgeous,60.61%,20
8,rich,0.00%,0
,Total,100%,33
,,,
QID11 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,hilarious,0.00%,0
2,smooth,5.41%,2
3,lost,32.43%,12
4,poor,24.32%,9
5,young,24.32%,9
6,creepy,2.70%,1
7,rough,5.41%,2
8,fresh,5.41%,2
,Total,100%,37
,,,
QID13 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,difficult,0.00%,0
2,adorable,0.00%,0
3,excellent,2.50%,1
4,outdoor,90.00%,36
5,hilarious,0.00%,0
6,successful,5.00%,2
7,sick,2.50%,1
8,creepy,0.00%,0
,Total,100%,40
,,,
QID15 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,illegal,7.50%,3
2,traditional,5.00%,2
3,creepy,15.00%,6
4,wild,2.50%,1
5,little,42.50%,17
6,clear,22.50%,9
7,bitter,2.50%,1
8,adorable,2.50%,1
,Total,100%,40
,,,
QID17 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,jealous,3.13%,1
2,faithful,0.00%,0
3,lost,59.38%,19
4,fat,6.25%,2
5,hungry,3.13%,1
6,adorable,0.00%,0
7,clear,25.00%,8
8,creepy,3.13%,1
,Total,100%,32
,,,
QID19 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,weird,0.00%,0
2,inspirational,8.11%,3
3,dead,2.70%,1
4,sexy,0.00%,0
5,pretty,24.32%,9
6,lazy,32.43%,12
7,bad,21.62%,8
8,angry,10.81%,4
,Total,100%,37
,,,
QID21 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,cute,0.00%,0
2,quiet,12.20%,5
3,dark,2.44%,1
4,hurt,4.88%,2
5,creepy,2.44%,1
6,little,2.44%,1
7,traditional,0.00%,0
8,busy,75.61%,31
,Total,100%,41
,,,
