Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,random
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,excited,4,,,christian,4,,,weird,4,cold,5,strong,4,,,,,excited,4,healthy,3,dark,5,healthy,5,weird,4,busy,4,dark,5,,,strong,1,sexy,5,loud,4,healthy,5,,,,,busy,4,,,,,beautiful,4,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565506
188,,,excited,4,clean,1,christian,4,lonely,2,,,,,proud,5,,,faithful,3,weak,4,proud,4,dark,1,lonely,5,weird,2.5,busy,3,loud,1,,,strong,5,sexy,3,,,,,,,,,strong,4,young,2,nasty,2,evil,1,dangerous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868686
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,5,,,innocent,4,broken,4,successful,5,safe,4,crazy,5,proud,4,divine,5,insane,5,excited,5,healthy,4,dark,5,,,,,,,dark,4,healthy,5,,,,,rough,4,,,holy,5,lonely,5,,,young,3.5,busy,4,beautiful,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989028
256,,,,,,,christian,3,successful,5,,,clever,4,proud,5,faithful,4,faithful,4,excited,4,,,jealous,2,,,bright,4,busy,4,loud,5,healthy,4,,,sexy,4,rough,5,healthy,3,deadly,4.5,insane,3,,,young,4,busy,4,beautiful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715178
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,1,clean,2,christian,3,successful,4,,,cold,2,,,difficult,5,faithful,3,,,,,,,healthy,4,bright,2,busy,5,,,lazy,2,strong,1,sexy,1,,,healthy,2,deadly,1,weird,2,busy,2.5,young,4,busy,3,,,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645955
282,insane,1,excited,4,talented,1,adorable,4,,,safe,5,crazy,5,,,difficult,3,faithful,4.5,excited,2,proud,5,dark,1,healthy,3,,,,,,,,,strong,4,,,,,healthy,3,deadly,5,lonely,4,busy,5,young,1,busy,3,,,extreme,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822883
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,3,,,clean,4,adorable,2,successful,4,,,,,proud,2,divine,1,insane,4,excited,5,proud,1,jealous,3,creepy,4,,,gorgeous,3,loud,4,,,ugly,3,,,rough,4,smooth,2,,,insane,2,strong,4,,,busy,5,,,dangerous,3,684115
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smooth,5,,,broken,4,bitter,2,weird,3,cold,3,,,difficult,2,,,,,healthy,2,dark,2,,,bright,4,gorgeous,3,,,lazy,2,strong,2,,,,,healthy,3,holy,3,weird,2,strong,4,young,2,busy,2,beautiful,3,expensive,4,807138
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,smooth,4,,,,,,,safe,4,,,proud,4,divine,3.5,lazy,4,excited,5,,,,,,,bright,5,busy,5,dark,5,healthy,4,strong,5,funny,5,,,healthy,4,deadly,5,,,busy,4,young,5,busy,5,beautiful,5,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863651
409,violent,3,excited,4,,,broken,5,successful,4,safe,4,,,strong,4,,,,,excited,5,,,,,healthy,4,bright,3,busy,4,dark,5,wicked,4,strong,4,,,rough,4,smooth,4,holy,3,lonely,4,,,young,4,,,beautiful,4,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680833
