Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,random
182,empty,5,clean,4,dangerous,3,clear,4,safe,5,successful,3,safe,5,insane,5,fat,2,difficult,5,creepy,3,weird,3,stunning,4,funny,4,nasty,4,healthy,4,lonely,3,dying,4,,,beautiful,4,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76948
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,2,clean,2,faithful,3,clear,3,safe,2,successful,3,weird,4,faithful,2,dark,2,difficult,2,creepy,4,adorable,2,hurt,4,funny,3,nasty,4,smooth,3,weird,3,violent,4,clear,3,evil,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77291
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,4,talented,1,dangerous,2,strong,3,safe,1,successful,2,safe,4,faithful,4,dark,5,weird,2,healthy,4,weird,3,young,4,dumb,4,dark,5,healthy,5,,,sleepy,3,extreme,5,beautiful,2,fat,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55313
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,5,clean,5,dangerous,5,,,safe,5,successful,5,safe,5,lazy,5,dark,5,weird,4,healthy,3,bright,5,young,5,faithful,5,dark,4.5,healthy,5,lonely,5,sleepy,3,clear,5,beautiful,5,funny,5,70099
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,3,clean,3,dangerous,4,strong,2,safe,3,successful,2,safe,4,,,dark,4,weird,1,healthy,4,bright,2,young,2,dumb,2,dark,3,healthy,5,lonely,4,violent,3,healthy,4,beautiful,2,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57902
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,clean,4,dangerous,4,strong,5,safe,2,lonely,1,safe,4,insane,2,dark,2,weird,1,creepy,2,bright,4,young,4,faithful,1,creepy,3,healthy,3,lonely,5,,,clear,5,beautiful,4,fat,3,66986
231,cute,3,clean,3,faithful,3,clear,3,extreme,3,bitter,3,safe,3,faithful,3,dark,3,,,healthy,3,bright,3,stunning,3,funny,3,creepy,5,healthy,3,insane,3,sleepy,3,clear,5,beautiful,3,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61908
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,clean,3,dangerous,2,comfortable,2,safe,4,successful,2,extreme,2,lazy,3,dark,5,weird,3,healthy,3,,,young,3,faithful,3,dark,5,healthy,3,insane,3,dying,2,clear,3,beautiful,1,funny,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55916
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,clean,5,dangerous,5,strong,5,extreme,2,successful,3,weird,2.5,lazy,5,dark,1,difficult,2,creepy,4,bright,5,hurt,2,dumb,2,creepy,2,,,lonely,"1,5",sleepy,4,clear,5,beautiful,5,funny,2,59595
304,empty,2,talented,2,angry,2,comfortable,2,safe,2,lonely,2,weird,3,faithful,2,fat,2,clever,2,lonely,3,weird,2,,,funny,2,nasty,2,smooth,2,insane,2,sleepy,2,clear,2,beautiful,2,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67410
