Duration (in seconds),QID13,QID14,QID16,QID17,QID19,QID20,QID22,QID23,QID25,QID26,QID28,QID29,QID31,QID32,QID34,QID35,QID37,QID38,QID40,QID41,QID43,QID44,QID46,QID47,QID49,QID50,QID52,QID53,QID55,QID56,QID58,QID59,QID61,QID62,QID64,QID65,QID67,QID68,QID70,QID71,QID73,QID74,QID76,QID77,QID79,QID80,QID82,QID83,QID85,QID86,QID88,QID89,QID91,QID92,QID94,QID95,QID97,QID98,QID100,QID101,QID103,QID104,QID106,QID107,QID109,QID110,QID112,QID113,QID115,QID116,QID118,QID119,QID121,QID122,QID124,QID125,QID127,QID128,QID130,QID131,QID133,QID134,QID136,QID137,QID139,QID140,QID142,QID143,QID145,QID146,QID148,QID149,QID151,QID152,QID154,QID155,QID157,QID158,QID160,QID161,QID163,QID164,QID166,QID167,QID169,QID170,QID172,QID173,QID175,QID176,QID178,QID179,QID181,QID182,QID184,QID185,random
202,,,,,strong,2,,,,,,,,,,,,,,,proud,5,,,,,,,,,,,,,,,sleepy,5,stunning,3,talented,2,,,jealous,2,,,,,dying,5,,,,,,,,,,,weird,5,stunning,5,,,,,gorgeous,5,faithful,3,,,,,peaceful,3,,,faithful,4,,,,,clever,5,smooth,3,,,,,cute,4,strong,3,,,adorable,4,,,,,dirty,5,,,cute,3,,,336732
278,,,,,excited,5,excited,5,,,,,christian,5,,,,,heavy,5,,,,,,,gorgeous,4,,,,,,,sexy,5,sleepy,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gorgeous,5,weird,5,,,inspirational,5,peaceful,5,inspirational,5,,,excited,5,inspirational,5,,,excited,5,inspirational,5,,,,,,,,,,,cute,5,,,,,hilarious,3,cute,5,deadly,3,788193
240,faithful,2,wicked,1,,,,,talented,4,inspirational,4,tired,2,loud,3,,,hungry,3,proud,5,,,gorgeous,4,,,,,proud,4,,,,,,,dirty,3,,,,,,,,,,,dying,4,,,talented,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clever,5,,,creepy,3,,,,,strong,2,talented,4.5,,,cute,3,,,dirty,3,,,,,deadly,2,472022
302,faithful,3,lost,1,,,,,talented,2,,,ancient,1,ancient,2,adorable,2,hungry,1,proud,1,,,,,,,,,,,,,,,,,stunning,1,,,clever,2,dry,1,hungry,1,,,proud,1,successful,3,talented,2,,,,,,,,,,,jealous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,divine,2,fancy,1,,,,,,,,,faithful,2,,,,,,,deadly,1,734661
343,faithful,4,lost,2,excited,3,,,,,,,cute,4,,,comfortable,4,safe,4,holy,2,inspirational,2,,,,,,,,,,,,,,,,,,,cute,3,,,,,,,fresh,3,,,,,,,,,hungry,3,,,stunning,5,,,,,gorgeous,3,faithful,4,rough,3,,,,,inspirational,4,,,,,,,,,,,,,,,gorgeous,5,strong,3,,,,,,,,,dirty,4,,,cute,4,,,386680
349,,,,,,,excited,4,,,,,,,loud,2,,,,,,,inspirational,4,,,,,,,,,,,,,,,faithful,2,talented,2,cute,4,jealous,1,hungry,4,,,,,successful,3,funny,3,smooth,2,,,,,,,stunning,4,,,ancient,1,gorgeous,4,,,,,,,,,inspirational,5,,,,,,,clever,4,,,creepy,2,divine,5,,,faithful,1,,,,,,,,,dirty,4,,,,,,,488240
274,,,gorgeous,3,,,,,,,inspirational,3,,,loud,3,adorable,3,,,,,,,,,clever,3,,,proud,3,,,,,,,dirty,3,talented,3,,,,,,,,,,,,,funny,3,,,,,hungry,3,weird,3,,,,,,,,,faithful,3,,,inspirational,3,,,,,,,excited,3,,,clever,3,,,,,,,,,,,talented,3,,,cute,3,,,dirty,3,lonely,3,,,deadly,3,763640
326,,,wicked,1,,,,,,,,,,,loud,3,,,safe,2,,,,,,,,,,,proud,3,,,,,,,dirty,3,talented,2,,,,,hungry,2,confused,2,fresh,1,successful,2,innocent,1,smooth,1,,,,,,,stunning,3,,,,,,,,,rough,1,inspirational,3,,,,,hilarious,3,,,,,,,,,,,hilarious,2,,,hilarious,1,,,adorable,2,,,,,dirty,3,,,,,,,691051
356,faithful,4,wicked,2,,,,,,,inspirational,4,ancient,2,loud,3,,,,,proud,3,,,,,gorgeous,2,,,proud,3,,,gorgeous,3,peaceful,2,,,,,,,jealous,3,,,,,fresh,2,,,,,,,,,,,,,,,,,,,,,,,,,,,strong,3,inspirational,3,faithful,3,,,,,,,excited,4,,,divine,4,,,,,,,,,,,,,dirty,4,hilarious,3,cute,3,,,765697
305,faithful,1,,,excited,2,,,,,inspirational,2,,,,,comfortable,1,,,proud,1,,,gorgeous,3,clever,1,,,,,,,,,,,dirty,1,,,,,,,,,,,,,,,talented,1,smooth,1,,,,,,,,,wicked,1,,,,,faithful,3,,,,,,,,,faithful,2,clean,1,,,clever,3,,,clear,1,,,cute,2,,,,,,,,,faithful,2,dumb,1,,,,,cute,1,799247
146,,,,,excited,3,,,talented,3,,,,,wicked,3,,,,,,,smooth,3,gorgeous,3,safe,3,successful,3,,,,,gorgeous,3,,,,,talented,3,clever,3,,,,,,,,,,,talented,3,,,,,,,,,,,wicked,3,,,gorgeous,3,,,rough,3,wild,3,,,,,,,excited,3,,,,,,,,,,,cute,3,,,,,adorable,3,cute,3,,,,,,,,,cute,2.5,398286
440,,,,,,,,,,,,,cute,4,loud,4,,,,,,,,,,,,,successful,4,proud,3,,,gorgeous,3,,,,,,,,,dry,3,,,,,,,successful,3,talented,4,,,,,,,wet,3,stunning,3,,,,,gorgeous,4,,,,,,,strong,4,,,faithful,4,,,inspirational,3,clever,3,,,,,hilarious,3,cute,2,strong,3,talented,3,strong,2,,,,,,,,,,,,,731551
352,,,,,,,,,,,adorable,3,,,,,adorable,4,,,,,inspirational,3,,,,,successful,3,lonely,3,talented,3,,,golden,4,stunning,4,,,,,,,,,cute,3,fresh,4,,,talented,3,peaceful,4,,,,,,,rough,3,,,,,,,,,fresh,2,,,peaceful,3,,,,,,,,,,,,,,,divine,3,cute,3,,,,,,,,,faithful,3,inspirational,3,,,,,cute,4,311627
305,,,,,,,,,,,,,,,loud,5,,,,,,,inspirational,5,,,clever,5,,,,,talented,5,,,,,,,talented,5,clever,5,,,,,,,,,,,funny,5,,,difficult,5,,,wet,5,,,,,ancient,5,,,faithful,5,,,,,,,,,faithful,5,,,inspirational,5,clever,5,excited,5,inspirational,5,divine,5,,,,,,,,,cute,5,,,,,,,safe,5,cute,5,470881
398,,,gorgeous,3.5,,,,,,,,,,,,,adorable,3,excited,4,,,,,,,,,,,,,shy,3,,,,,,,,,,,dry,4,hungry,2,,,,,,,,,,,,,,,safe,4,,,cute,3,ancient,2,,,faithful,2,,,,,peaceful,4,,,,,,,inspirational,4,,,excited,3,inspirational,4,,,cute,3,strong,4,talented,3,,,,,healthy,4,,,dry,4,,,cute,4,509640
242,faithful,2,,,excited,3,excited,2,,,,,ancient,2,loud,2,,,,,,,,,,,,,sleepy,2,proud,3,,,,,,,stunning,1,,,,,,,,,,,,,,,,,smooth,2,,,,,weird,2,stunning,3,,,confused,2,,,,,,,,,,,,,,,excited,3,,,clever,3,,,,,divine,3,cute,3,,,,,adorable,2,cute,2,,,dirty,3,,,,,cute,2,769005
