QID3,QID5,QID7,QID9,QID11,QID13,QID15,QID17,QID19,QID21,QID23,QID25,QID27,QID29,QID31,QID33,QID35,QID37,QID39,QID41,QID50,QID52,QID54,QID56,QID58,QID60,QID62,QID64,QID66,QID68,QID70,QID72,QID74,QID76,QID78,QID80,QID82,QID84,QID86,QID88
Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
"{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID66""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76""}","{""ImportId"":""QID78""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID88""}"
gorgeous,dirty,deadly,ugly,,shy,dirty,,,stupid,,,,dumb,,,,,,,,,clear,clear,,,,bright,expensive,,weird,innocent,excellent,proud,,illegal,outdoor,wet,wet,
gorgeous,bright,warm,,sick,,,,,,,fresh,,strange,,stupid,ancient,dangerous,excellent,,,traditional,rich,ancient,,lazy,,inspirational,empty,,,gorgeous,,,funny,,comfortable,strong,,
,,,outdoor,,divine,excited,dirty,hurt,deadly,excellent,,lonely,,difficult,,,,,talented,gorgeous,,,,safe,,attractive,,,stunning,poor,,traditional,dumb,,strong,,,illegal,clear
,healthy,,gorgeous,wet,shy,lost,dirty,,peaceful,,,stunning,faithful,comfortable,,,dangerous,,weird,,,clear,,,,,bright,expensive,dry,,innocent,,,,,outdoor,wet,,clear
,fancy,inspirational,clever,,pretty,,,cold,,dark,smooth,stunning,,,,sad,outdoor,,proud,,,,,,successful,,traditional,,dangerous,pretty,innocent,,,funny,,outdoor,nasty,wet,
gorgeous,,warm,,,,,,cold,,excellent,comfortable,,,,inspirational,sad,,beautiful,,bright,empty,,clear,dangerous,weird,violent,,,,wild,,talented,talented,traditional,violent,,,excellent,
,healthy,,,dangerous,shy,,dirty,,,traditional,fresh,,violent,,comfortable,heavy,,outdoor,talented,poor,,,,,funny,,,expensive,,divine,,,talented,,illegal,,warm,safe,outdoor
gorgeous,,,,wet,,lost,dirty,,favorite,,,,faithful,smooth,comfortable,,,outdoor,,safe,sleepy,empty,clear,safe,,bitter,,expensive,,,,attractive,talented,,strong,,,,outdoor
