QID9,QID11,QID13,QID15,QID17,QID19,QID21,QID23,QID25,QID27,QID29,QID31,QID33,QID35,QID37,QID39,QID41,QID43,QID45,QID47,QID49,QID51,QID53,QID55,QID57,QID59,QID61,QID63,QID65,QID67,QID69,QID71,QID73,QID75,QID77,QID79,QID81,QID83,QID85,QID87
Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
"{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85""}","{""ImportId"":""QID87""}"
,,,,,lazy,busy,,bright,adorable,beautiful,favorite,,insane,,,broken,,beautiful,,,strong,,,,clever,bad,busy,,,peaceful,,,fresh,,successful,wet,outdoor,young,golden
,creepy,,,fat,,hurt,adorable,,,weak,deadly,bad,insane,,,,sick,,,shy,strong,,,,dark,sleepy,busy,,,,,fancy,young,,violent,,inspirational,confused,golden
,poor,outdoor,clear,lost,pretty,,,beautiful,adorable,beautiful,,,lovely,clean,,tough,successful,beautiful,,,,,stunning,wild,bad,,,,,,young,fancy,,,,,,confused,pretty
gorgeous,rough,,creepy,,,busy,,,adorable,beautiful,favorite,,lovely,,,,,,peaceful,,,,,fat,,,stunning,clean,beautiful,gorgeous,adorable,,clear,successful,successful,,outdoor,sick,
,,outdoor,clear,,,,,beautiful,,,,little,little,clean,clear,clear,rough,adorable,divine,,strong,fancy,clean,,clever,bad,,sexy,,,,,,,successful,,outdoor,loud,
sexy,lost,,little,lost,lazy,,tough,,adorable,inspirational,,,difficult,clean,ancient,broken,,,,dumb,,outdoor,,empty,,bad,dead,sexy,,,,,,,successful,,,,dark
gorgeous,young,,,,,,,bright,,beautiful,,little,,cute,adorable,,,beautiful,peaceful,,,sexy,beautiful,,inspirational,young,hilarious,adorable,,,young,hungry,fresh,,,wet,,creepy,
,,outdoor,clear,,,,,,adorable,,favorite,little,adorable,golden,ancient,broken,busy,beautiful,,dumb,strong,,stunning,successful,,,hungry,clean,beautiful,,,fancy,clever,,,,,,
