QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID179,QID180,QID176,QID177,QID173,QID174,QID170,QID171,QID167,QID168,QID164,QID165,QID161,QID162,QID158,QID159,QID155,QID156,QID152,QID153,QID149,QID150,QID146,QID147,QID143,QID144,QID140,QID141,QID137,QID138,QID134,QID135,QID131,QID132,QID128,QID129,QID125,QID126,QID122,QID123,QID119,QID120,QID116,QID117,QID113,QID114,QID110,QID111,QID107,QID108,QID104,QID105,QID101,QID102,QID98,QID99,QID95,QID96,QID92,QID93,QID89,QID90,QID86,QID87,QID83,QID84,QID80,QID81,QID77,QID78,QID74,QID75,QID71,QID72,QID68,QID69,QID65,QID66,QID62,QID63,QID59,QID60,QID56,QID57,QID53,QID54,QID50,QID51,QID47,QID48,QID44,QID45,QID41,QID42,QID38,QID39,QID35,QID36,QID32,QID33,QID29,QID30,QID26,QID27,QID23,QID24,QID20,QID21,QID17,QID18,QID14,QID15,QID11,QID12,QID8,QID9
"This is the list of clues the clue giver could choose from: 
 CLEVER  EVIL  CONFUSED  BUSY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  ATTRACTIVE  SLEEPY  HUNGRY 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  ANCIENT  CLEAR  WILD 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  DIRTY  LITTLE  HOLY 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  DEAD  BRIGHT  INNOCENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FANCY  WARM  SEXY  BEAUTIFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: FANCY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FANCY  WARM  CONFUSED  DIRTY 


Select the two words that the clue giver wanted to communicate by choosing the clue: FANCY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WICKED  DARK  WARM  GORGEOUS 


Select the two words that the clue giver wanted to communicate by choosing the clue: WICKED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FANCY  LOST  QUIET  STUPID 


Select the two words that the clue giver wanted to communicate by choosing the clue: FANCY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HOLY  QUIET  HURT  WEAK 


Select the two words that the clue giver wanted to communicate by choosing the clue: HOLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  HEALTHY  BITTER  PROUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  TALENTED  GOLDEN  PROUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WICKED  POOR  HEAVY  WILD 


Select the two words that the clue giver wanted to communicate by choosing the clue: WICKED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  CREEPY  EMPTY  DRY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  CLEVER  ATTRACTIVE  STRANGE 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  LOST  LOVELY  STRANGE 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  BROKEN  TIRED  YOUNG 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 GORGEOUS  UGLY  BEAUTIFUL  WARM 


Select the two words that the clue giver wanted to communicate by choosing the clue: GORGEOUS",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SHY  GOLDEN  TOUGH  HOLY 


Select the two words that the clue giver wanted to communicate by choosing the clue: SHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SHY  HILARIOUS  LITTLE  ANCIENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: SHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SHY  GOLDEN  POOR  WEAK 


Select the two words that the clue giver wanted to communicate by choosing the clue: SHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  FRESH  WET  BRIGHT 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  BUSY  QUIET  HURT 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  EXPENSIVE  SHY  SAD 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  VIOLENT  WEIRD  CRAZY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EXCITED  YOUNG  LITTLE  PROUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: EXCITED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  LOUD  OUTDOOR  YOUNG 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SHY  CLEVER  FAVORITE  SICK 


Select the two words that the clue giver wanted to communicate by choosing the clue: SHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  EXCITED  EXPENSIVE  TOUGH 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  EXPENSIVE  SAFE  JEALOUS 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  BUSY  SEXY  STRANGE 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  DYING  ANCIENT  TIRED 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  CHRISTIAN  SAFE  WARM 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  WEIRD  COLD  HEAVY 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SHY  EMPTY  EXCITED  RICH 


Select the two words that the clue giver wanted to communicate by choosing the clue: SHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  CUTE  PRECIOUS  WARM 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  WEIRD  HEAVY  EXPENSIVE 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  LOST  CHRISTIAN  FRIENDLY 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  PEACEFUL  SLEEPY  PRETTY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  DIFFICULT  ILLEGAL  LOST 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  DIFFICULT  QUIET  POWERFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 GORGEOUS  OUTDOOR  HILARIOUS  ANCIENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: GORGEOUS",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  FRIENDLY  NASTY  BEAUTIFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  RICH  CRAZY  ANCIENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  DANGEROUS  FRIENDLY  SWEET 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  WICKED  BITTER  SWEET 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  FAT  BRIGHT  TRADITIONAL 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  TIRED  DANGEROUS  FANCY 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  TIRED  EXPENSIVE  TOUGH 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  HUNGRY  DIVINE  TOUGH 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 UGLY  DUMB  POWERFUL  FAITHFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: UGLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  EMPTY  HILARIOUS  COMFORTABLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  INSPIRATIONAL  DIFFICULT  OUTDOOR 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  BEAUTIFUL  CLEAN  OUTDOOR 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HOLY  COMFORTABLE  BRIGHT  ATTRACTIVE 


Select the two words that the clue giver wanted to communicate by choosing the clue: HOLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  QUIET  CLEAN  ADORABLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  JEALOUS  EVIL  VIOLENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  BUSY  SAD  TIRED 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  CONFUSED  INSPIRATIONAL  FUNNY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  EXPENSIVE  SAFE  PROUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  EXPENSIVE  EVIL  WEAK 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  FRIENDLY  STUNNING  EVIL 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  GOLDEN  SAFE  PRECIOUS 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  ADORABLE  POWERFUL  DARK 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  DEADLY  BAD  RICH 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  DYING  TALENTED  BUSY 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  HILARIOUS  CLEAR  BUSY 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?
"{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}"
,,,,,,"artist,city",4,,,,,,,,,,,,,,,"wedding,hair",4,"money,dog",4,"hair,text",4,"country,dog",3,"country,dog",4,,,,,,,,,,,"area,hair",3,"morning,girl",4,,,,,,,"morning,god",3,"girl,morning",4,"feelings,relationship",4,,,"beauty,heart",4,,,,,,,,,,,"dog,feelings",3,"birthday,weight",4,"night,dog",4,"history,girl",4,"history,girl",4,,,"wedding,girl",4,,,,,,,"city,dog",3,,,,,,,,,,,,,,,"beauty,performance",3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"birthday,performance",4,,,,,"birthday,ocean",3,,,"money,business","5 	 (Highly confident)",,,,,,,"wedding,hair",4,,,,,,,"wedding,dog",4,,,,,"performance,girl",2,,,,,,,"morning,girl",4,"beer,wedding",4,"chocolate,business",3,,,,,,,,,,,,,,,,,,,"morning,artist",2,"dog,feelings",2,"dog,feelings",2,,,"night,dog",3,,,"artist,girl",4,,,,,,,,,"training,dog",3,,,,,"lady,girl","5 	 (Highly confident)",,,,,,,,,"lady,hair",3,"beauty,performance",3,,,,,"beer,god",2,,,,,,,,,,,,,,,,,"lady,birthday",4
,,"gift,artist",4,,,,,"artist,city","5 	 (Highly confident)",,,,,,,,,"performance,birthday",4,"wedding,hair","5 	 (Highly confident)",,,,,,,,,,,,,"country,hair",3,,,"performance,girl","5 	 (Highly confident)","dog,morning",2,"area,hair",4,,,,,,,,,"morning,god",3,,,,,,,,,,,,,"dog,lady",4,,,,,,,,,,,,,,,,,,,"wedding,girl",4,"dog,lady","5 	 (Highly confident)",,,"dog,lady",4,"lady,girl",4,,,,,,,"hair,lady",4,"country,holiday","1 	 (Not confident)",,,,,"lady,birthday","1 	 (Not confident)","performance,god",3,,,,,"feelings,performance",4,,,,,"hair,lady",4,,,,,,,,
"phone,artist",4,,,,,"artist,city","5 	 (Highly confident)",,,,,"birthday,ocean","5 	 (Highly confident)","money,business",2,"death,artist",3,,,,,"country,wedding",3,"money,dog","3,4","hair,country",4,,,,,,,,,,,,,,,,,,,,,,,"child,beauty",4,,,,,,,"feelings,relationship",4,"beauty,heart",3,,,"dog,lady","5 	 (Highly confident)",,,,,,,"phone,dog","5 	 (Highly confident)",,,,,,,"artist,girl",3,,,,,,,,,"dog,lady",4,,,,,,,,,,,,,,,,,,,"lady,birthday",3,,,,,,,,,"wedding,lady","5 	 (Highly confident)","lady,hair","5 	 (Highly confident)",,,,,"beauty,lady","5 	 (Highly confident)",,,"lady,birthday",4
,,,,,,"artist,city","5 	 (Highly confident)",,,,,"birthday,ocean",4,,,,,,,,,,,"dog,phone",4,,,,,,,"ocean,country",4,,,,,,,,,,,,,,,,,"child,beauty",4,,,"girl,morning","5 	 (Highly confident)",,,"feelings,relationship",3,"food,beauty",4,"food,beauty",4,"dog,lady",4,,,,,,,,,"birthday,area",3,,,,,,,"hair,relationship",4,"wedding,girl","5 	 (Highly confident)",,,,,,,,,,,,,"food,chocolate","5 	 (Highly confident)","heart,beer",3,,,,,,,,,,,,,,,"dog,country","5 	 (Highly confident)",,,"wedding,lady",3,"lady,beer",4,,,"business,wedding",3,"beauty,lady",4,,,,
"phone,artist",2,,,,,"legs,artist",3,,,,,,,,,"god,artist",2,,,,,,,"money,dog",4,,,,,,,,,,,,,,,,,,,,,,,,,"child,beauty",2,,,,,,,"feelings,relationship",3,"food,beauty",2,,,,,,,,,,,,,"birthday,weight",3,"apple,dog",4,"artist,girl",3,,,,,"wedding,girl",4,,,,,"training,dog",4,,,,,,,"beauty,chocolate",3,,,,,,,"lady,hair","1 	 (Not confident)",,,"lady,hair",2,,,"beer,god",3,,,,,"hair,lady",2,,,,,,,"beauty,lady",4,"lady,history","1 	 (Not confident),2","lady,birthday",2
"phone,artist",4,,,,,,,"legs,artist","5 	 (Highly confident)",,,,,,,"death,artist","2,3","performance,birthday",4,"wedding,hair","5 	 (Highly confident)",,,,,,,"wedding,dog","5 	 (Highly confident)",,,,,"country,hair","5 	 (Highly confident)",,,"performance,girl","5 	 (Highly confident)","dog,morning","4,5 	 (Highly confident)","area,hair","5 	 (Highly confident)",,,,,,,,,"morning,god","1 	 (Not confident)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,girl","5 	 (Highly confident)","training,lady",4,,,"dog,lady","5 	 (Highly confident)","girl,area",3,,,,,,,"hair,lady","5 	 (Highly confident)","god,country","1 	 (Not confident)",,,,,,,"performance,god","5 	 (Highly confident)",,,,,,,,,,,"hair,lady","5 	 (Highly confident)",,,,,"lady,birthday","5 	 (Highly confident)",,
,,"gift,artist","1 	 (Not confident)","birthday,performance",4,,,"legs,artist","1 	 (Not confident)","birthday,death","1 	 (Not confident)",,,,,,,"performance,birthday","1 	 (Not confident)",,,"wedding,hair",2,,,"hair,country",2,"wedding,dog",2,"wedding,dog","1 	 (Not confident)",,,,,,,,,"morning,chocolate","1 	 (Not confident)",,,,,,,,,,,"night,god","1 	 (Not confident)",,,,,,,,,,,"dog,lady",2,,,,,"dog,feelings",4,,,"birthday,weight",2,,,,,,,,,,,"wedding,girl",3,,,,,,,,,"lady,girl","2,4",,,"heart,beer","1 	 (Not confident)",,,"god,holiday","1 	 (Not confident)","hair,money",2,"beauty,performance",2,,,,,,,,,,,,,,,,,,,,,,,,
