QID13,QID14,QID16,QID17,QID19,QID20,QID22,QID23,QID25,QID26,QID28,QID29,QID31,QID32,QID34,QID35,QID37,QID38,QID40,QID41,QID43,QID44,QID46,QID47,QID49,QID50,QID52,QID53,QID55,QID56,QID58,QID59,QID61,QID62,QID64,QID65,QID67,QID68,QID70,QID71,QID73,QID74,QID76,QID77,QID79,QID80,QID82,QID83,QID85,QID86,QID88,QID89,QID91,QID92,QID94,QID95,QID97,QID98,QID100,QID101,QID103,QID104,QID106,QID107,QID109,QID110,QID112,QID113,QID115,QID116,QID118,QID119,QID121,QID122,QID124,QID125,QID127,QID128,QID130,QID131,QID133,QID134,QID136,QID137,QID139,QID140,QID142,QID143,QID145,QID146,QID148,QID149,QID151,QID152,QID154,QID155,QID157,QID158,QID160,QID161,QID163,QID164,QID166,QID167,QID169,QID170,QID172,QID173,QID175,QID176,QID178,QID179,QID181,QID182,QID184,QID185
"Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?","Below are possible clues. You can only pick 1 clue to describe the top row. Which clue would you provide to your partner, the word guesser?","How confident are you that your partner, the word guesser, will pick the correct words based on your clue?"
"{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}"
,,,,strong,2,,,,,,,,,,,,,,,proud,5   (Highly confident),,,,,,,,,,,,,,,sleepy,5   (Highly confident),stunning,3,talented,2,,,jealous,2,,,,,dying,5   (Highly confident),,,,,,,,,,,weird,5   (Highly confident),stunning,5   (Highly confident),,,,,gorgeous,5   (Highly confident),faithful,3,,,,,peaceful,3,,,faithful,4,,,,,clever,5   (Highly confident),smooth,3,,,,,cute,4,strong,3,,,adorable,4,,,,,dirty,5   (Highly confident),,,cute,3,,
,,,,excited,5   (Highly confident),excited,5   (Highly confident),,,,,christian,5   (Highly confident),,,,,heavy,5   (Highly confident),,,,,,,gorgeous,4,,,,,,,sexy,5   (Highly confident),sleepy,5   (Highly confident),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gorgeous,5   (Highly confident),weird,5   (Highly confident),,,inspirational,5   (Highly confident),peaceful,5   (Highly confident),inspirational,5   (Highly confident),,,excited,5   (Highly confident),inspirational,5   (Highly confident),,,excited,5   (Highly confident),inspirational,5   (Highly confident),,,,,,,,,,,cute,5   (Highly confident),,,,,hilarious,"2,5   (Highly confident)",cute,5   (Highly confident),deadly,3
faithful,2,wicked,1   (Not confident),,,,,talented,4,inspirational,4,tired,2,loud,3,,,hungry,3,proud,5   (Highly confident),,,gorgeous,4,,,,,proud,4,,,,,,,dirty,3,,,,,,,,,,,dying,4,,,talented,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clever,5   (Highly confident),,,creepy,3,,,,,strong,2,talented,"4,5   (Highly confident)",,,cute,3,,,dirty,3,,,,,deadly,2
faithful,3,lost,1   (Not confident),,,,,talented,2,,,ancient,1   (Not confident),ancient,2,adorable,2,hungry,1   (Not confident),proud,1   (Not confident),,,,,,,,,,,,,,,,,stunning,1   (Not confident),,,clever,2,dry,1   (Not confident),hungry,1   (Not confident),,,proud,1   (Not confident),successful,3,talented,2,,,,,,,,,,,jealous,1   (Not confident),,,,,,,,,,,,,,,,,,,,,,,,,,,divine,2,fancy,1   (Not confident),,,,,,,,,faithful,2,,,,,,,deadly,1   (Not confident)
faithful,4,lost,2,excited,3,,,,,,,cute,4,,,comfortable,4,safe,4,holy,2,inspirational,2,,,,,,,,,,,,,,,,,,,cute,3,,,,,,,fresh,3,,,,,,,,,hungry,3,,,stunning,5   (Highly confident),,,,,gorgeous,3,faithful,4,rough,3,,,,,inspirational,4,,,,,,,,,,,,,,,gorgeous,5   (Highly confident),strong,3,,,,,,,,,dirty,4,,,cute,4,,
,,,,,,excited,4,,,,,,,loud,2,,,,,,,inspirational,4,,,,,,,,,,,,,,,faithful,2,talented,2,cute,4,jealous,1   (Not confident),hungry,4,,,,,successful,3,funny,3,smooth,2,,,,,,,stunning,4,,,ancient,1   (Not confident),gorgeous,4,,,,,,,,,inspirational,5   (Highly confident),,,,,,,clever,4,,,creepy,2,divine,5   (Highly confident),,,faithful,1   (Not confident),,,,,,,,,dirty,4,,,,,,
,,gorgeous,3,,,,,,,inspirational,3,,,loud,3,adorable,3,,,,,,,,,clever,3,,,proud,3,,,,,,,dirty,3,talented,3,,,,,,,,,,,,,funny,3,,,,,hungry,3,weird,3,,,,,,,,,faithful,3,,,inspirational,3,,,,,,,excited,3,,,clever,3,,,,,,,,,,,talented,3,,,cute,3,,,dirty,3,lonely,3,,,deadly,3
,,wicked,1   (Not confident),,,,,,,,,,,loud,3,,,safe,2,,,,,,,,,,,proud,3,,,,,,,dirty,3,talented,2,,,,,hungry,2,confused,2,fresh,1   (Not confident),successful,2,innocent,1   (Not confident),smooth,1   (Not confident),,,,,,,stunning,3,,,,,,,,,rough,1   (Not confident),inspirational,3,,,,,hilarious,3,,,,,,,,,,,hilarious,2,,,hilarious,1   (Not confident),,,adorable,2,,,,,dirty,3,,,,,,
