QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195
"This is the list of clues the clue giver could choose from: 
 CUTE  ADORABLE  EMPTY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEAN  TALENTED  INNOCENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEAN",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ANGRY  DANGEROUS  FAITHFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: ANGRY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 COMFORTABLE  CLEAR  STRONG 


Select the two words that the clue giver wanted to communicate by choosing the clue: COMFORTABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EXTREME  EVIL  SAFE 


Select the two words that the clue giver wanted to communicate by choosing the clue: EXTREME",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LONELY  BITTER  SUCCESSFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: LONELY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EXTREME  SAFE  WEIRD 


Select the two words that the clue giver wanted to communicate by choosing the clue: EXTREME",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 INSANE  FAITHFUL  LAZY 


Select the two words that the clue giver wanted to communicate by choosing the clue: INSANE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FAT  JEALOUS  DARK 


Select the two words that the clue giver wanted to communicate by choosing the clue: FAT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DIFFICULT  CLEVER  WEIRD 


Select the two words that the clue giver wanted to communicate by choosing the clue: DIFFICULT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HEALTHY  LONELY  CREEPY 


Select the two words that the clue giver wanted to communicate by choosing the clue: HEALTHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  BRIGHT  WEIRD 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HURT  YOUNG  STUNNING 


Select the two words that the clue giver wanted to communicate by choosing the clue: HURT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DUMB  FAITHFUL  FUNNY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DUMB",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 NASTY  DARK  CREEPY 


Select the two words that the clue giver wanted to communicate by choosing the clue: NASTY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HEALTHY  SMOOTH  FANCY 


Select the two words that the clue giver wanted to communicate by choosing the clue: HEALTHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 INSANE  LONELY  WEIRD 


Select the two words that the clue giver wanted to communicate by choosing the clue: INSANE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DYING  VIOLENT  SLEEPY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DYING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEAR  HEALTHY  EXTREME 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEAR",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EVIL  DEAD  BEAUTIFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: EVIL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FAT  FUNNY  SEXY 


Select the two words that the clue giver wanted to communicate by choosing the clue: FAT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  EMPTY  CUTE 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 TALENTED  INNOCENT  CLEAN 


Select the two words that the clue giver wanted to communicate by choosing the clue: TALENTED",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DANGEROUS  FAITHFUL  ANGRY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DANGEROUS",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEAR  STRONG  COMFORTABLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEAR",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EVIL  SAFE  EXTREME 


Select the two words that the clue giver wanted to communicate by choosing the clue: EVIL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 BITTER  SUCCESSFUL  LONELY 


Select the two words that the clue giver wanted to communicate by choosing the clue: BITTER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SAFE  WEIRD  EXTREME 


Select the two words that the clue giver wanted to communicate by choosing the clue: SAFE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FAITHFUL  LAZY  INSANE 


Select the two words that the clue giver wanted to communicate by choosing the clue: FAITHFUL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 JEALOUS  DARK  FAT 


Select the two words that the clue giver wanted to communicate by choosing the clue: JEALOUS",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  WEIRD  DIFFICULT 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LONELY  CREEPY  HEALTHY 


Select the two words that the clue giver wanted to communicate by choosing the clue: LONELY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 BRIGHT  WEIRD  ADORABLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: BRIGHT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 YOUNG  STUNNING  HURT 


Select the two words that the clue giver wanted to communicate by choosing the clue: YOUNG",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FAITHFUL  FUNNY  DUMB 


Select the two words that the clue giver wanted to communicate by choosing the clue: FAITHFUL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DARK  CREEPY  NASTY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DARK",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SMOOTH  FANCY  HEALTHY 


Select the two words that the clue giver wanted to communicate by choosing the clue: SMOOTH",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LONELY  WEIRD  INSANE 


Select the two words that the clue giver wanted to communicate by choosing the clue: LONELY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 VIOLENT  SLEEPY  DYING 


Select the two words that the clue giver wanted to communicate by choosing the clue: VIOLENT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 HEALTHY  EXTREME  CLEAR 


Select the two words that the clue giver wanted to communicate by choosing the clue: HEALTHY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEAD  BEAUTIFUL  EVIL 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEAD",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  SEXY  FAT 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EMPTY  CUTE  ADORABLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: EMPTY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 INNOCENT  CLEAN  TALENTED 


Select the two words that the clue giver wanted to communicate by choosing the clue: INNOCENT",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FAITHFUL  ANGRY  DANGEROUS 


Select the two words that the clue giver wanted to communicate by choosing the clue: FAITHFUL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STRONG  COMFORTABLE  CLEAR 


Select the two words that the clue giver wanted to communicate by choosing the clue: STRONG",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SAFE  EXTREME  EVIL 


Select the two words that the clue giver wanted to communicate by choosing the clue: SAFE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SUCCESSFUL  LONELY  BITTER 


Select the two words that the clue giver wanted to communicate by choosing the clue: SUCCESSFUL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WEIRD  EXTREME  SAFE 


Select the two words that the clue giver wanted to communicate by choosing the clue: WEIRD",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LAZY  INSANE  FAITHFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: LAZY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DARK  FAT  JEALOUS 


Select the two words that the clue giver wanted to communicate by choosing the clue: DARK",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WEIRD  DIFFICULT  CLEVER 


Select the two words that the clue giver wanted to communicate by choosing the clue: WEIRD",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CREEPY  HEALTHY  LONELY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CREEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WEIRD  ADORABLE  BRIGHT 


Select the two words that the clue giver wanted to communicate by choosing the clue: WEIRD",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  HURT  YOUNG 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FUNNY  DUMB  FAITHFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: FUNNY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CREEPY  NASTY  DARK 


Select the two words that the clue giver wanted to communicate by choosing the clue: CREEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 FANCY  HEALTHY  SMOOTH 


Select the two words that the clue giver wanted to communicate by choosing the clue: FANCY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 WEIRD  INSANE  LONELY 


Select the two words that the clue giver wanted to communicate by choosing the clue: WEIRD",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  DYING  VIOLENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 EXTREME  CLEAR  HEALTHY 


Select the two words that the clue giver wanted to communicate by choosing the clue: EXTREME",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 BEAUTIFUL  EVIL  DEAD 


Select the two words that the clue giver wanted to communicate by choosing the clue: BEAUTIFUL",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SEXY  FAT  FUNNY 


Select the two words that the clue giver wanted to communicate by choosing the clue: SEXY",How confident are you that the clue giver is referring to these two words?
"{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,"car,area",3,"country,road","5 	 (Highly confident)","hands,legs",3,"area,room",3,"weight,performance",4,"hands,car","5 	 (Highly confident)","performance,heart",3,"birthday,sky",2,"text,apple","5 	 (Highly confident)","text,performance",4,"room,city","5 	 (Highly confident)","friend,family",4,,,"hair,eyes","5 	 (Highly confident)","god,family",4,"heart,death","5 	 (Highly confident)","wedding,history",4,"evening,wedding",2,"phone,birthday",4,"birthday,animal","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,chocolate","5 	 (Highly confident)","country,chocolate",3,"hands,birthday",3,"area,room",3,"weight,legs",3,"hands,car",3,"performance,heart",3,"birthday,sky",3,"text,road",3,,,"room,training",3,"phone,friend",3,"business,beer",3,"birthday,eyes",3,"god,family",3,"heart,chocolate",3,"wedding,history",3,"evening,wedding",3,"family,phone",3,"birthday,god",3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,"car,chocolate",4,"country,chocolate",4,"hands,birthday","5 	 (Highly confident)","room,legs",4,"weight,legs",4,"hands,apple",4,"performance,heart",4,"birthday,sky",4,"text,road",4,"text,performance",4,"training,city",4,"phone,friend","5 	 (Highly confident)","business,beer",4,"hair,eyes",3,"family,child",4,,,"wedding,history",4,"evening,wedding",4,"family,phone","5 	 (Highly confident)","god,animal",4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",4,"car,area",2,"country,road",4,"hands,birthday",2,"area,room",4,"weight,performance",4,"hands,car",4,"performance,heart",4,"birthday,sky",3,"text,apple",3,"text,family",3,"room,city",4,"friend,family",4,"business,money",2,"hair,eyes","5 	 (Highly confident)","family,child","2,3","heart,death",4,"history,performance",4,"wedding,night",3,"phone,birthday",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heart,artist",2,"car,area",2,"country,road",2,"birthday,legs","1 	 (Not confident)","area,room","1 	 (Not confident)","weight,legs",2,"hands,car",3,"performance,beer",2,"birthday,night","1 	 (Not confident)",,,"family,performance",2,"room,city","1 	 (Not confident),2","friend,family","2,3","beer,money",3,"hair,eyes","1 	 (Not confident)","family,child","1 	 (Not confident)","heart,death",2,"history,performance",2,"evening,night",3,"family,phone","1 	 (Not confident)","birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"chocolate,area",3,"chocolate,road",3,"birthday,legs",3,"room,legs",3,"legs,performance",3,"hands,car",3,"performance,heart",3,"sky,night",3,"road,apple",3,"text,family",3,"training,city",3,"friend,family",4,"beer,money",4,"hair,eyes",3,,,"chocolate,death",4,"history,performance",3,"wedding,night",3,"family,phone",3,"birthday,god",3
"heart,artist",4,"car,area",4,"country,road",4,"hands,birthday","2,3","area,legs",3,"weight,legs",3,"hands,car",2,"heart,beer","1 	 (Not confident)","birthday,sky",3,"text,road",3,"family,performance",4,"room,city",3,"friend,family",3,"beer,money",4,"hair,eyes","2,4","family,child",3,"heart,death",4,,,"evening,night",3,"phone,birthday",4,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"chocolate,area",2,"country,road",2,"hands,legs",3,,,"weight,performance",3,"car,apple",2,"performance,heart",2,"sky,night",4,"road,apple",2,"text,performance",2,"training,city",3,"friend,family",3,"business,beer",3,"hair,eyes",2,"god,family",3,"heart,death",3,"history,performance",2,"evening,wedding",2,"family,birthday",3,"god,animal",2
